request_id,company_id,company_name,kind,method,confidence,needs_review,candidates,extracted,opening_message
R1001,C041,Vantage Ridge Utilities,company,name-exact,1.00,no,,Vantage Ridge Utilities,asking again: Vantage Ridge Utilities. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.
R1002,C042,Volney Industrial Systems,company,name-exact,1.00,no,,Volney Industrial Systems,"does anyone know anyone at Volney Industrial Systems? looking for VP Data & Analytics, ideally warm"
R1003,,,,unmatched,0.00,yes,,Redtree Foods,long shot — Redtree Foods. Tomás Jarrold-Egerton (VP Engineering). Anyone?
R1004,C023,Marchford Clinics,company,name-exact,1.00,no,,Marchford Clinics,long shot — Marchford Clinics. Silas Mkhize-Thackeray (Head of Developer Productivity). Anyone?
R1005,C033,Ravensmoor Defense,company,name-exact,1.00,no,,Ravensmoor Defense,"need help getting to Ravensmoor Defense. Curtis Ashdown-Kirkbride is the Chief Data Officer there, cold outbound is going nowhere"
R1006,,,,unmatched,0.00,yes,,Kingsmere Retail Group,trying to reach VP Engineering at Kingsmere Retail Group — anyone have a path?
R1007,C017,Halcyon Grid,company,name-exact,1.00,no,,Halcyon Grid,long shot — Halcyon Grid. Espen Crowther-Isenberg (Head of Platform Engineering). Anyone?
R1008,C035,Silverbrook Paper,company,name-exact,1.00,no,,Silverbrook Paper,trying to reach Chief Technology Officer at Silverbrook Paper — anyone have a path?
R1009,C023,Marchford Clinics,company,name-exact,1.00,no,,Marchford Clinics,long shot — Marchford Clinics. Ansel Lomsadze-Ingleby (SVP Digital). Anyone?
R1010,C022,Larkhall Software,company,name-exact,1.00,no,,Larkhall Software,"need help getting to Larkhall Software. Hugo Norrington-Isenberg is the Chief Technology Officer there, cold outbound is going nowhere"
R1011,,,,fund-or-customer,0.50,yes,C040 Thornbury Financial (company) | F009 Thornbury Equity (fund),Thornbury,need an intro at Thornbury — anyone?
R1012,,,,no-company-named,0.00,yes,,,"anyone connected to Ilse Oyelaran-Zettergren? They run engineering at a large logistics business, I don't have the entity name handy"
R1013,C027,Nortonbury Logistics,company,name-exact,1.00,no,,Nortonbury Logistics,"does anyone know anyone at Nortonbury Logistics? looking for Chief Operating Officer, ideally warm"
R1014,C026,Northwind Freight,company,name-exact,1.00,no,,Northwind Freight,"does anyone know anyone at Northwind Freight? looking for Chief Operating Officer, ideally warm"
R1015,C008,Cindermill Holdings,company,name-prefix,0.78,no,C008 Cindermill Holdings (company),Cindermill Mining,long shot — Cindermill Mining. Niall Zettergren-Isenberg (Chief Information Officer). Anyone?
R1016,C027,Nortonbury Logistics,company,name-exact,1.00,no,,Nortonbury Logistics,"does anyone know anyone at Nortonbury Logistics? looking for Chief Operating Officer, ideally warm"
R1017,,,,unmatched,0.00,yes,,Vireo Systems,any connections into Vireo Systems? we're up against a renewal window and I need an intro to Head of Developer Productivity
R1018,C043,Wrenfield Robotics,company,name-exact,1.00,no,,Wrenfield Robotics,who do we know at Wrenfield Robotics? Chief Technology Officer would be ideal but I'll take anyone senior
R1019,C026,Northwind Freight,company,name-exact,1.00,no,,Northwind Freight,any connections into Northwind Freight? we're up against a renewal window and I need an intro to Chief Data Officer
R1020,,,,no-company-named,0.00,yes,,,Rafael Kirkbride-Ibarra is the person I need. Pretty sure they're a Chief Information Officer somewhere in Semiconductors.
R1021,C021,Larchmont Aerospace,company,name-exact,1.00,no,,Larchmont Aerospace,"does anyone know anyone at Larchmont Aerospace? looking for VP Data & Analytics, ideally warm"
R1022,C006,Blackwood Holdings,company,domain-stem,0.95,no,,Blackwood Industrial,asking again: Blackwood Industrial. Director of Software Engineering. Happy to draft the forward myself if someone can vouch.
R1023,C039,Thistledown Energy,company,name-exact,1.00,no,,Thistledown Energy,asking again: Thistledown Energy. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.
R1024,C002,Apex Logistics,company,name-exact,1.00,no,,Apex Logistics,who do we know at Apex Logistics? Director of Software Engineering would be ideal but I'll take anyone senior
R1025,C015,Glasspoint Health,company,name-exact,1.00,no,,Glasspoint Health,"does anyone know anyone at Glasspoint Health? looking for Chief Information Officer, ideally warm"
R1026,C038,Tessellate Payments,company,name-exact,1.00,no,,Tessellate Payments,"need help getting to Tessellate Payments. Duarte Wolstenholme-Crowther is the Chief Data Officer there, cold outbound is going nowhere"
R1027,C036,Strathmore Holdings,company,domain-stem,0.95,no,,Strathmore Rail,asking again: Strathmore Rail. Chief Technology Officer. Happy to draft the forward myself if someone can vouch.
R1028,C028,Osric Networks,company,name-exact,1.00,no,,Osric Networks,"Duncastle Hotels introduced us to Calderon Aerospace, but the account I actually need is Osric Networks (Chief Digital Officer)."
R1029,C007,Brightmoor Energy,company,name-exact,1.00,no,,Brightmoor Energy,"Brightmoor Energy is the target. Our champion at Yarrowdale Media used to work with their team, and I think Marlowe Freight Systems is a supplier of theirs. Any path?"
R1030,C021,Larchmont Aerospace,company,name-exact,1.00,no,,Larchmont Aerospace,long shot — Larchmont Aerospace. Kofi Højgaard-Zettergren (Head of Platform Engineering). Anyone?
R1031,C020,Ironvale Steel,company,name-exact,1.00,no,,Ironvale Steel,"does anyone know anyone at Ironvale Steel? looking for Chief Data Officer, ideally warm"
R1032,C010,Duncastle Holdings,company,name-prefix,0.78,no,C010 Duncastle Holdings (company),Duncastle Hotels,who do we know at Duncastle Hotels? VP Enterprise Architecture would be ideal but I'll take anyone senior
R1033,C031,Priorwood Chemicals,company,name-exact,1.00,no,,Priorwood Chemicals,long shot — Priorwood Chemicals. Astrid Thackeray-Grimsby (Head of Developer Productivity). Anyone?
R1034,C037,Sundermere Bank,company,name-exact,1.00,no,,Sundermere Bank,long shot — Sundermere Bank. Margot Vasquez-Salcedo (Chief Data Officer). Anyone?
R1035,,,,unmatched,0.00,yes,,Marrow Point Airways,"does anyone know anyone at Marrow Point Airways? looking for VP Engineering, ideally warm"
R1036,C034,Sablefield Motors,company,name-exact,1.00,no,,Sablefield Motors,asking again: Sablefield Motors. Chief Data Officer. Happy to draft the forward myself if someone can vouch.
R1037,C039,Thistledown Energy,company,name-exact,1.00,no,,Thistledown Energy,trying to reach Head of Platform Engineering at Thistledown Energy — anyone have a path?
R1038,C002,Apex Logistics,company,name-exact,1.00,no,,Apex Logistics,trying to reach Chief Operating Officer at Apex Logistics. I know we sell into Larkhall Software and Cindermill Mining — could either of those relationships get us there?
R1039,C033,Ravensmoor Defense,company,name-exact,1.00,no,,Ravensmoor Defense,asking again: Ravensmoor Defense. Head of Developer Productivity. Happy to draft the forward myself if someone can vouch.
R1040,C020,Ironvale Steel,company,name-exact,1.00,no,,Ironvale Steel,trying to reach Chief Technology Officer at Ironvale Steel — anyone have a path?
R1041,C002,Apex Logistics,company,name-exact,1.00,no,,Apex Logistics,trying to reach SVP Digital at Apex Logistics — anyone have a path?
R1042,C007,Brightmoor Energy,company,name-exact,1.00,no,,Brightmoor Energy,"Brightmoor Energy is the target. Our champion at Kingsmere Retail Group used to work with their team, and I think Apex Logistics is a supplier of theirs. Any path?"
R1043,,,,unmatched,0.00,yes,,Copperline Water,who do we know at Copperline Water? Chief Technology Officer would be ideal but I'll take anyone senior
R1044,,,,fund-or-customer,0.50,yes,C025 Meridian Holdings (company) | F005 Meridian Peak Partners (fund),Meridian Peak,who knows someone at Meridian Peak?
R1045,C024,Marlowe Freight Systems,company,name-exact,1.00,no,,Marlowe Freight Systems,who do we know at Marlowe Freight Systems? VP Enterprise Architecture would be ideal but I'll take anyone senior
R1046,,,,no-company-named,0.00,yes,,,Freya Thackeray-Underhill is the person I need. Pretty sure they're a Head of Developer Productivity somewhere in Consumer.
R1047,C029,Pelham Beverage,company,name-exact,1.00,no,,Pelham Beverage,"Calderon Aerospace introduced us to Kestrel Airlines, but the account I actually need is Pelham Beverage (Director of Software Engineering)."
R1048,C005,Bexley Bioworks,company,name-exact,1.00,no,,Bexley Bioworks,any connections into Bexley Bioworks? we're up against a renewal window and I need an intro to Chief Data Officer
R1049,C033,Ravensmoor Defense,company,name-exact,1.00,no,,Ravensmoor Defense,long shot — Ravensmoor Defense. Rhys Ferreira-Ingleby (Chief Digital Officer). Anyone?
R1050,C030,Pemberton Retail,company,name-exact,1.00,no,,Pemberton Retail,trying to reach Head of Developer Productivity at Pemberton Retail — anyone have a path?
R1051,,,,no-company-named,0.00,yes,,,"anyone connected to Solveig Dobrescu-Mkhize? They run engineering at a large logistics business, I don't have the entity name handy"
R1052,C031,Priorwood Chemicals,company,name-exact,1.00,no,,Priorwood Chemicals,asking again: Priorwood Chemicals. Head of Platform Engineering. Happy to draft the forward myself if someone can vouch.
R1053,C036,Strathmore Holdings,company,domain-stem,0.95,no,,Strathmore Rail,asking again: Strathmore Rail. VP Data & Analytics. Happy to draft the forward myself if someone can vouch.
R1054,C014,Kestrel Airlines,company,name-exact,1.00,no,,Kestrel Airlines,trying to reach Chief Operating Officer at Kestrel Airlines — anyone have a path?
R1055,,,,unmatched,0.00,yes,,vireosystems.com,"looking for a path to Noor Isenberg-Havercamp — email domain is vireosystems.com, that's all I have"
R1056,,,,no-company-named,0.00,yes,,,Elena Bellinger-Havercamp is the person I need. Pretty sure they're a VP Engineering somewhere in Healthcare.
