company_id,company_name,also_known_as,domain,industry,crm_account_ids,duplicate_accounts,owner,stage,value_usd,largest_request_usd,total_requests,open_requests,distinct_requesters,targets_wanted,latest_request_id,latest_request_date,latest_request_status,routed_to,routed_on,route_reason,paths_available,durable_paths,best_path_type,someone_offered,days_since_movement,checked_in_on
C001,Aldergate Telecom,,aldergate.com,Telecom,A1027,no,Yusuf Petrossian,Closed Lost,2200000,400000,1,1,1,VP Enterprise Architecture,R1099,2026-01-09,Open,,,not asked; no path to this company in the network,0,0,,no,151,
C002,Apex Logistics,"Apex Logistics, Inc.",apexlogistics.com,Logistics,A1001 | A91001,yes - owners disagree,Rafael Salcedo | Yusuf Petrossian,Prospect,2200000,2000000,4,2,4,Director of Software Engineering | SVP Digital,R1024,2026-07-04,Routed,Marcus Aldridge,,"allocated to 2026-09 Marcus Aldridge batch, not yet asked; direct path via Curtis Prendergast (SVP Digital)",2,2,direct,no,64,
C003,Apex Holdings,Apex Logistics Group,apexlogisticsgroup.co.uk,Logistics,A1002,no,Imani Mkhize,Negotiation,600000,2000000,3,2,3,Head of Platform Engineering | VP Engineering,R1154,2026-03-02,Stalled,Marcus Aldridge,2026-03-05,asked; direct path via Astrid Salcedo (VP Data & Analytics),2,2,investor_network,no,179,
C004,Ashgrove Agriculture,Ashgrove Agriculture Inc,ashgroveag.com,Agriculture,A1035 | A91035,yes - owners disagree,Hana Nakashima | Rafael Salcedo,Pilot,600000,400000,1,1,1,Chief Digital Officer,R1187,2025-10-29,Open,Priya Raghunathan,2025-11-01,asked; no known path from this connector to the company,1,0,offer,yes,218,
C005,Bexley Bioworks,,bexleybio.com,Biotech,A1045,no,Sloane Fairweather,Negotiation,1400000,750000,1,1,1,Chief Data Officer,R1048,2026-04-14,Stalled,Tomás Beckett,,"allocated to 2026-09 Tomás Beckett batch, not yet asked; direct path via Yusuf Wolstenholme (Chief Information Officer)",8,8,investor,no,145,
C006,Blackwood Holdings,Blackwood Industrial,blackwoodindustrial.com,Industrials,A1010,no,Imani Mkhize,Negotiation,400000,1200000,4,4,3,Chief Digital Officer | Director of Software Engineering | SVP Digital,R1022,2026-06-11,Open,Elena Duvall,2026-06-16,asked; direct path via Bram Quillane (Head of Developer Productivity),9,8,investor_network,yes,78,
C007,Brightmoor Energy,Brightmoor Energy Inc,brightmoorenergy.com,Energy,A1006 | A91006,yes - same owner,Imani Mkhize,Discovery,600000,2000000,5,4,4,Chief Technology Officer | VP Engineering | VP Enterprise Architecture,R1029,2026-07-13,Stalled,Elena Duvall,2026-07-18,asked; direct path via Idris Drummond (Chief Digital Officer),2,2,direct,no,50,
C008,Cindermill Holdings,Cindermill Mining,cindermill.com,Mining,A1025,no,Nadia Okonkwo,Discovery,600000,750000,4,4,3,Chief Digital Officer | Chief Information Officer | VP Data & Analytics | VP Engineering,R1184,2026-07-26,Open,Elena Duvall,,"allocated to 2026-09 Elena Duvall batch, not yet asked; direct path via Bertrand Glückstein (Chief Data Officer)",9,9,investor_network,no,42,
C009,Cobalt Lane Capital Markets,,cobaltlanecm.com,Financial Services,A1038,no,Rafael Salcedo,Discovery,600000,2000000,2,1,2,Chief Digital Officer,R1076,2026-01-27,Open,Tomás Beckett,2026-01-27,"asked; direct path via Greta Petrossian (Head of Automation); stronger path existed via Priya Raghunathan (direct, 0.09)",3,3,investor_network,no,211,
C010,Duncastle Holdings,Duncastle Hotels,duncastle.com,Hospitality,A1029,no,Bertrand Vandermolen,Prospect,600000,750000,5,3,4,Chief Information Officer | SVP Digital,R1183,2026-04-29,Open,Amara Brenneman-Fairweather,,"allocated to 2026-09 Amara Brenneman-Fairweather batch, not yet asked; investor_network path via CEO / exec team",5,5,investor,no,130,
