rank,group,company_id,company_name,crm_account_ids,owner,stage,action,why,evidence,value_at_stake_usd,request_ids,status,executed_on
1,create,C059,Marrow Point Airways,,,,"create account, owner Rafael Salcedo, stage Prospect","4 live requests worth $4,700,000 have no account to log against","5 requests from 5 reps since 2025-12-23 (Rafael Salcedo, Nadia Okonkwo, Sloane Fairweather, Curtis Hartigan, Imani Mkhize); 4 still live; 5 filed as blocked for no CRM record; no domain on record",4700000,R1189 | R1133 | R1116 | R1194,recommended,
1,create,C046,Vireo Systems,,,,"create account, owner Nadia Okonkwo, stage Prospect","5 live requests worth $3,980,000 have no account to log against","9 requests from 4 reps since 2025-08-15 (Nadia Okonkwo (3), Rafael Salcedo (3), Hana Nakashima (2), Curtis Hartigan); 5 still live; domain vireosystems.com; 4 paths into the company",3980000,R1060 | R1199 | R1075 | R1131 | R1055,recommended,
1,create,C058,Kingsmere Retail Group,,,,"create account, owner Nadia Okonkwo, stage Prospect","7 live requests worth $3,580,000 have no account to log against","8 requests from 5 reps since 2025-12-26 (Curtis Hartigan (2), Imani Mkhize (2), Rafael Salcedo (2), Nadia Okonkwo, Hana Nakashima); 7 still live; no domain on record; 7 paths into the company",3580000,R1128 | R1171 | R1113 | R1070 | R1193 | R1006 | R1066,recommended,
1,create,C045,Redtree Foods,,,,"create account, owner Curtis Hartigan, stage Prospect","4 live requests worth $3,100,000 have no account to log against","4 requests from 3 reps since 2025-10-22 (Curtis Hartigan (2), Imani Mkhize, Bertrand Vandermolen); 4 still live; domain redtreefoods.com; 9 paths into the company",3100000,R1067 | R1135 | R1003 | R1074,recommended,
1,create,C049,Calderon Aerospace,,,,"create account, owner Rafael Salcedo, stage Prospect","1 live request worth $80,000 have no account to log against","2 requests from 2 reps since 2026-02-14 (Rafael Salcedo, Imani Mkhize); 1 still live; no domain on record; 4 paths into the company",80000,R1101,recommended,
1,create,C050,Copperline Water,,,,"create account, owner Imani Mkhize, stage Prospect",3 requests were filed with no account to log against; none still live,"3 requests from 3 reps since 2025-11-20 (Imani Mkhize, Yusuf Petrossian, Nadia Okonkwo); 0 still live; 3 filed as blocked for no CRM record; no domain on record",0,R1175 | R1043 | R1151,recommended,
2,merge,C002,Apex Logistics,A1001 | A91001,Rafael Salcedo | Yusuf Petrossian,Prospect,merge A91001 into A1001,"2 accounts for one company, owners disagree: $2,200,000 is counted 2 times and 4 requests split across them","same domain apexlogistics.com: A1001 ""Apex Logistics"" (Rafael Salcedo, Prospect, $2,200,000); A91001 ""Apex Logistics, Inc."" (Yusuf Petrossian, Prospect, $2,200,000)",2200000,R1197 | R1041 | R1038 | R1024,recommended,
2,merge,C004,Ashgrove Agriculture,A1035 | A91035,Hana Nakashima | Rafael Salcedo,Pilot,merge A91035 into A1035,"2 accounts for one company, owners disagree: $600,000 is counted 2 times and 1 request split across them","same domain ashgroveag.com: A1035 ""Ashgrove Agriculture"" (Hana Nakashima, Pilot, $600,000); A91035 ""Ashgrove Agriculture Inc"" (Rafael Salcedo, Pilot, $600,000)",600000,R1187,recommended,
2,merge,C007,Brightmoor Energy,A1006 | A91006,Imani Mkhize,Discovery,merge A91006 into A1006,"2 accounts for one company, same owner: $600,000 is counted 2 times and 5 requests split across them","same domain brightmoorenergy.com: A1006 ""Brightmoor Energy"" (Imani Mkhize, Discovery, $600,000); A91006 ""Brightmoor Energy Inc"" (Imani Mkhize, Discovery, $600,000)",600000,R1139 | R1123 | R1042 | R1190 | R1029,recommended,
2,merge,C019,Hollowbrook Grocers,A1024 | A91024,Imani Mkhize | Nadia Okonkwo,Pilot,merge A91024 into A1024,"2 accounts for one company, owners disagree: $600,000 is counted 2 times and 4 requests split across them","same domain hollowbrook.com: A1024 ""Hollowbrook Grocers"" (Nadia Okonkwo, Pilot, $600,000); A91024 ""Hollowbrook Grocers Inc."" (Imani Mkhize, Pilot, $600,000)",600000,R1124 | R1159 | R1065 | R1084,recommended,
2,merge,C035,Silverbrook Paper,A1032 | A91032,Curtis Hartigan | Yusuf Petrossian,Closed Lost,merge A91032 into A1032,"2 accounts for one company, owners disagree: $600,000 is counted 2 times and 2 requests split across them","same domain silverbrookpaper.com: A1032 ""Silverbrook Paper"" (Curtis Hartigan, Closed Lost, $600,000); A91032 ""Silverbrook Paper Corp"" (Yusuf Petrossian, Closed Lost, $600,000)",600000,R1063 | R1008,recommended,
2,merge,C011,Ellerby Semiconductor,A1020 | A91020,Sloane Fairweather | Yusuf Petrossian,Negotiation,merge A91020 into A1020,"2 accounts for one company, owners disagree: $400,000 is counted 2 times and 1 request split across them","same domain ellerbysemi.com: A1020 ""Ellerby Semiconductor"" (Sloane Fairweather, Negotiation, $400,000); A91020 ""Ellerby Semiconductor, Inc."" (Yusuf Petrossian, Negotiation, $400,000)",400000,R1104,recommended,
