request_id,requested_by,requester_role,request_date,raw_ask,target_company_raw,target_person_raw,target_title_raw,deal_value_usd,urgency,path_found_flag,status
R1001,Imani Mkhize,"Enterprise AE, West",2026-04-14,asking again: Vantage Ridge Utilities. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.,Vantage Ridge Utilities,Perrine Salcedo-Oyelaran,Chief Operating Officer,400000,High,Unknown,Open
R1002,Imani Mkhize,"Enterprise AE, West",2025-09-14,"does anyone know anyone at Volney Industrial Systems? looking for VP Data & Analytics, ideally warm",Volney Industrial Systems,Astrid Quillane-Brenneman,VP Data & Analytics,400000,High,Unknown,Open
R1003,Imani Mkhize,"Enterprise AE, West",2026-03-03,long shot — Redtree Foods. Tomás Jarrold-Egerton (VP Engineering). Anyone?,Redtree Foods,,VP Engineering,400000,High,No path found,Stalled
R1004,Imani Mkhize,"Enterprise AE, West",2026-07-06,long shot — Marchford Clinics. Silas Mkhize-Thackeray (Head of Developer Productivity). Anyone?,Marchford Clinics,Silas Mkhize-Thackeray,Head of Developer Productivity,750000,Medium,Path found,Open
R1005,Rafael Salcedo,"AE, Transport & Logistics",2026-03-05,"need help getting to Ravensmoor Defense. Curtis Ashdown-Kirkbride is the Chief Data Officer there, cold outbound is going nowhere",Ravensmoor Defense,,Chief Data Officer,150000,Low,No path found,Closed - no path
R1006,Rafael Salcedo,"AE, Transport & Logistics",2026-06-07,trying to reach VP Engineering at Kingsmere Retail Group — anyone have a path?,Kingsmere Retail Group,,VP Engineering,750000,High,,Open
R1007,Rafael Salcedo,"AE, Transport & Logistics",2026-06-01,long shot — Halcyon Grid. Espen Crowther-Isenberg (Head of Platform Engineering). Anyone?,Halcyon Grid,,Head of Platform Engineering,80000,High,Unknown,Open
R1008,Yusuf Petrossian,SDR Lead,2026-01-07,trying to reach Chief Technology Officer at Silverbrook Paper — anyone have a path?,Silverbrook Paper,Anouk Norrington-Brenneman,Chief Technology Officer,2000000,High,Unknown,Open
R1009,Yusuf Petrossian,SDR Lead,2026-04-15,long shot — Marchford Clinics. Ansel Lomsadze-Ingleby (SVP Digital). Anyone?,Marchford Clinics,,SVP Digital,1200000,High,Path found,Intro sent
R1010,Bertrand Vandermolen,"AE, EMEA",2026-05-24,"need help getting to Larkhall Software. Hugo Norrington-Isenberg is the Chief Technology Officer there, cold outbound is going nowhere",Larkhall Software,Hugo Norrington-Isenberg,Chief Technology Officer,250000,Medium,No path found,Open
R1011,Rafael Salcedo,"AE, Transport & Logistics",2025-08-29,need an intro at Thornbury — anyone?,Thornbury,,Head of Platform Engineering,400000,High,Unknown,Open
R1012,Nadia Okonkwo,"AE, Industrials",2026-03-25,"anyone connected to Ilse Oyelaran-Zettergren? They run engineering at a large logistics business, I don't have the entity name handy",,Ilse Oyelaran-Zettergren,Head of Developer Productivity,750000,Low,Path found,Open
R1013,Nadia Okonkwo,"AE, Industrials",2026-05-10,"does anyone know anyone at Nortonbury Logistics? looking for Chief Operating Officer, ideally warm",Nortonbury Logistics,,Chief Operating Officer,80000,Low,,Open
R1014,Yusuf Petrossian,SDR Lead,2026-02-18,"does anyone know anyone at Northwind Freight? looking for Chief Operating Officer, ideally warm",Northwind Freight,,Chief Operating Officer,150000,High,No path found,Closed - no path
R1015,Yusuf Petrossian,SDR Lead,2026-06-23,long shot — Cindermill Mining. Niall Zettergren-Isenberg (Chief Information Officer). Anyone?,Cindermill Mining,,Chief Information Officer,80000,High,Path found,Stalled
R1016,Curtis Hartigan,"AE, Financial Services",2026-03-30,"does anyone know anyone at Nortonbury Logistics? looking for Chief Operating Officer, ideally warm",Nortonbury Logistics,,Chief Operating Officer,1200000,High,,Intro sent
R1017,Nadia Okonkwo,"AE, Industrials",2025-11-06,any connections into Vireo Systems? we're up against a renewal window and I need an intro to Head of Developer Productivity,Vireo Systems,Otto Ashdown-Fairweather,Head of Developer Productivity,250000,Medium,Unknown,Closed - no path
R1018,Yusuf Petrossian,SDR Lead,2026-05-31,who do we know at Wrenfield Robotics? Chief Technology Officer would be ideal but I'll take anyone senior,Wrenfield Robotics,,Chief Technology Officer,1200000,High,Unknown,Open
R1019,Nadia Okonkwo,"AE, Industrials",2026-01-01,any connections into Northwind Freight? we're up against a renewal window and I need an intro to Chief Data Officer,Northwind Freight,,Chief Data Officer,400000,High,,Open
R1020,Bertrand Vandermolen,"AE, EMEA",2025-11-01,Rafael Kirkbride-Ibarra is the person I need. Pretty sure they're a Chief Information Officer somewhere in Semiconductors.,,Rafael Kirkbride-Ibarra,Chief Information Officer,750000,Low,Path found,Intro sent
R1021,Imani Mkhize,"Enterprise AE, West",2025-10-29,"does anyone know anyone at Larchmont Aerospace? looking for VP Data & Analytics, ideally warm",Larchmont Aerospace,,VP Data & Analytics,1200000,Medium,,Intro sent
R1022,Nadia Okonkwo,"AE, Industrials",2026-06-11,asking again: Blackwood Industrial. Director of Software Engineering. Happy to draft the forward myself if someone can vouch.,Blackwood Industrial,,Director of Software Engineering,1200000,High,Unknown,Open
R1023,Bertrand Vandermolen,"AE, EMEA",2025-10-21,asking again: Thistledown Energy. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.,Thistledown Energy,,Chief Operating Officer,400000,Low,,Routed
R1024,Curtis Hartigan,"AE, Financial Services",2026-07-04,who do we know at Apex Logistics? Director of Software Engineering would be ideal but I'll take anyone senior,Apex Logistics,,Director of Software Engineering,2000000,High,Path found,Routed
R1025,Sloane Fairweather,Strategic AE,2026-02-25,"does anyone know anyone at Glasspoint Health? looking for Chief Information Officer, ideally warm",Glasspoint Health,Mei Mkhize-Prendergast,Chief Information Officer,1200000,Medium,Unknown,Open
R1026,Imani Mkhize,"Enterprise AE, West",2025-12-12,"need help getting to Tessellate Payments. Duarte Wolstenholme-Crowther is the Chief Data Officer there, cold outbound is going nowhere",Tessellate Payments,,Chief Data Officer,1200000,Low,,Routed
R1027,Hana Nakashima,"AE, Healthcare",2026-07-05,asking again: Strathmore Rail. Chief Technology Officer. Happy to draft the forward myself if someone can vouch.,Strathmore Rail,,Chief Technology Officer,400000,High,Unknown,Routed
R1028,Yusuf Petrossian,SDR Lead,2026-07-18,"Duncastle Hotels introduced us to Calderon Aerospace, but the account I actually need is Osric Networks (Chief Digital Officer).",,,Chief Digital Officer,2000000,Critical,Unknown,Open
R1029,Rafael Salcedo,"AE, Transport & Logistics",2026-07-13,"Brightmoor Energy is the target. Our champion at Yarrowdale Media used to work with their team, and I think Marlowe Freight Systems is a supplier of theirs. Any path?",,,VP Engineering,150000,Medium,Path found,Stalled
