request_id,company_id,company_as_written,target_title,requested_by,request_date,raw_ask,value_usd,urgency_declared,status_as_filed,routed_to,routed_on,route_score,route_reason,asked_date,responded,intro_sent,meeting_booked,opportunity_usd,offer_in_thread,thread_replies,thread_all_noise,resolved_by,needs_review,contradicts_log,blocked_reason,nudged_on
R1001,C041,Vantage Ridge Utilities,Chief Operating Officer,Imani Mkhize,2026-04-14,asking again: Vantage Ridge Utilities. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.,400000,High,Open,Marcus Aldridge,,0.171,"recommended, not yet asked; direct path via Sabine Dellinger (Chief Data Officer)",,,,,,N,3,yes,crm-name,no,,,
R1002,C042,Volney Industrial Systems,VP Data & Analytics,Imani Mkhize,2025-09-14,"does anyone know anyone at Volney Industrial Systems? looking for VP Data & Analytics, ideally warm",400000,High,Open,,,,not asked; no path to this company in the network,,,,,,N,1,yes,crm-name,no,,account is Closed Lost,
R1003,C045,Redtree Foods,VP Engineering,Imani Mkhize,2026-03-03,long shot — Redtree Foods. Tomás Jarrold-Egerton (VP Engineering). Anyone?,400000,High,Stalled,Dana Whitfield,2026-03-06,,"asked; no known path from this connector to the company; stronger path existed via Priya Raghunathan (investor, 0.23)",2026-03-06,Y,Y,N,,Y,2,no,new-company,no CRM account,"intro logged, filed as stalled",,
R1004,C023,Marchford Clinics,Head of Developer Productivity,Imani Mkhize,2026-07-06,long shot — Marchford Clinics. Silas Mkhize-Thackeray (Head of Developer Productivity). Anyone?,750000,Medium,Open,Marcus Aldridge,,0.081,"recommended, not yet asked; direct path via Kofi Jarrold (Chief Information Officer)",,,,,,N,2,yes,crm-name,no,,,
R1005,C033,Ravensmoor Defense,Chief Data Officer,Rafael Salcedo,2026-03-05,"need help getting to Ravensmoor Defense. Curtis Ashdown-Kirkbride is the Chief Data Officer there, cold outbound is going nowhere",150000,Low,Closed - no path,,,,not asked; no path to this company in the network,,,,,,N,0,no replies,crm-name,no,,"path exists, never routed",
R1006,C058,Kingsmere Retail Group,VP Engineering,Rafael Salcedo,2026-06-07,trying to reach VP Engineering at Kingsmere Retail Group — anyone have a path?,750000,High,Open,Dana Whitfield,,0.145,"recommended, not yet asked; direct path via Saoirse Quillane (VP Data & Analytics)",,,,,,N,0,no replies,new-company,no CRM account,,,
R1007,C017,Halcyon Grid,Head of Platform Engineering,Rafael Salcedo,2026-06-01,long shot — Halcyon Grid. Espen Crowther-Isenberg (Head of Platform Engineering). Anyone?,80000,High,Open,,,,not asked; no path to this company in the network,,,,,,N,0,no replies,crm-name,no,,no path on the roster,
R1008,C035,Silverbrook Paper,Chief Technology Officer,Yusuf Petrossian,2026-01-07,trying to reach Chief Technology Officer at Silverbrook Paper — anyone have a path?,2000000,High,Open,Owen Trask,2026-01-07,0.041,asked; direct path via Elena Rushworth (Head of Automation),2026-01-07,N,N,N,,N,2,yes,crm-name,no,,,
R1009,C023,Marchford Clinics,SVP Digital,Yusuf Petrossian,2026-04-15,long shot — Marchford Clinics. Ansel Lomsadze-Ingleby (SVP Digital). Anyone?,1200000,High,Intro sent,Marcus Aldridge,,0.081,"recommended, not yet asked; direct path via Kofi Jarrold (Chief Information Officer)",,,,,,N,3,yes,crm-name,no,"intro claimed, none logged",,
R1010,C022,Larkhall Software,Chief Technology Officer,Bertrand Vandermolen,2026-05-24,"need help getting to Larkhall Software. Hugo Norrington-Isenberg is the Chief Technology Officer there, cold outbound is going nowhere",250000,Medium,Open,,,,not asked; no path to this company in the network,,,,,,N,2,yes,crm-name,no,,no path on the roster,
R1011,,Thornbury,Head of Platform Engineering,Rafael Salcedo,2025-08-29,need an intro at Thornbury — anyone?,400000,High,Open,,,,not asked; company unresolved,,,,,,N,3,yes,fund-collision,bare name is a fund and a customer,,fund or operating company — ask the requester,
R1012,,,Head of Developer Productivity,Nadia Okonkwo,2026-03-25,"anyone connected to Ilse Oyelaran-Zettergren? They run engineering at a large logistics business, I don't have the entity name handy",750000,Low,Open,Elena Duvall,2026-03-31,,asked; no known path from this connector to the company,2026-03-31,N,N,N,,N,3,yes,unresolved,company not identifiable; asked with no known path,,,
R1013,C027,Nortonbury Logistics,Chief Operating Officer,Nadia Okonkwo,2026-05-10,"does anyone know anyone at Nortonbury Logistics? looking for Chief Operating Officer, ideally warm",80000,Low,Open,Marcus Aldridge,,0.180,"recommended, not yet asked; direct path via Anouk Kirkbride (Head of Developer Productivity)",,,,,,N,2,yes,crm-name,no,,,
