account_id,account_name,domain,owner,stage,arr_potential_usd,industry,employee_count,hq,last_touch_date
A1015,THORNBURYFINANCIAL,thornburyfinancial.com,Sloane Fairweather,Pilot,400000,Financial Services,26000,Charlotte,2026-02-12
A91020,"Ellerby Semiconductor, Inc.",ellerbysemi.com,Yusuf Petrossian,Negotiation,400000,Semiconductors,21000,Austin,2025-09-18
A1028,Yarrowdale Media,yarrowdale.com,Rafael Salcedo,Evaluation,1400000,Media,7100,Los Angeles,2026-07-28
A1031,Ravensmoor Defense,ravensmoor.com,Hana Nakashima,Negotiation,1400000,Defense,34000,Arlington,2025-10-12
A1002,Apex Holdings,apexlogisticsgroup.co.uk,Imani Mkhize,Negotiation,600000,Logistics,900,Leeds,2025-08-03
A91001,"Apex Logistics, Inc.",apexlogistics.com,Yusuf Petrossian,Prospect,2200000,Logistics,14000,Memphis,2026-04-03
A1043,Pelham Beverage,pelhambev.com,Yusuf Petrossian,Evaluation,3500000,Consumer,28000,Charlotte,2026-01-20
A1020,Ellerby Semiconductor,ellerbysemi.com,Sloane Fairweather,Negotiation,400000,Semiconductors,21000,Austin,2025-09-18
A1037,Tessellate Payments,tessellate.co,Nadia Okonkwo,Negotiation,120000,Fintech,3100,London,2025-08-01
A91035,Ashgrove Agriculture Inc,ashgroveag.com,Rafael Salcedo,Pilot,600000,Agriculture,23000,Des Moines,2026-01-31
A1023,Pemberton Retail,pembertonretail.com,Hana Nakashima,Negotiation,1400000,Retail,76000,Columbus,2025-08-24
A1035,Ashgrove Agriculture,ashgroveag.com,Hana Nakashima,Pilot,600000,Agriculture,23000,Des Moines,2026-01-31
A1017,Glasspoint Health,glasspointhealth.com,Bertrand Vandermolen,Closed Lost,600000,Healthcare,37000,Nashville,2026-06-20
A1030,Priorwood Chemicals,priorwood.com,Bertrand Vandermolen,Discovery,3500000,Chemicals,16800,Baton Rouge,2025-10-17
A1005,Sablefield Motors,sablefield.com,Hana Nakashima,Closed Lost,3500000,Automotive,61000,Detroit,2026-02-14
A1008,Halcyon Grid,halcyongrid.com,Bertrand Vandermolen,Negotiation,600000,Utilities,6400,Portland,2026-03-14
A1042,Larchmont Aerospace,larchmontaero.com,Bertrand Vandermolen,Closed Lost,400000,Aerospace,12900,Everett,2025-12-17
